2024-09-28 13:48:35 | ERROR | stderr | Loading pt checkpoint shards:   0% Completed | 0/3 [00:00<?, ?it/s]
2024-09-28 13:48:35 | ERROR | stderr | 
2024-09-28 13:48:35 | ERROR | stderr | /hpc2hdd/home/qxiao183/anaconda3/envs/open_reasoner/lib/python3.10/site-packages/vllm/model_executor/model_loader/weight_utils.py:424: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
2024-09-28 13:48:35 | ERROR | stderr |   state = torch.load(bin_file, map_location="cpu")
2024-09-28 13:48:51 | ERROR | stderr | Loading pt checkpoint shards:  33% Completed | 1/3 [00:15<00:31, 15.96s/it]
2024-09-28 13:48:51 | ERROR | stderr | 
2024-09-28 13:49:06 | ERROR | stderr | Loading pt checkpoint shards:  67% Completed | 2/3 [00:30<00:15, 15.24s/it]
2024-09-28 13:49:06 | ERROR | stderr | 
2024-09-28 13:49:13 | ERROR | stderr | Loading pt checkpoint shards: 100% Completed | 3/3 [00:38<00:00, 11.82s/it]
2024-09-28 13:49:13 | ERROR | stderr | 
2024-09-28 13:49:13 | ERROR | stderr | Loading pt checkpoint shards: 100% Completed | 3/3 [00:38<00:00, 12.82s/it]
2024-09-28 13:49:13 | ERROR | stderr | 
2024-09-28 13:49:13 | ERROR | stderr | 
2024-09-28 13:49:34 | INFO | model_worker | Loading the model ['llama2-7b-game24-policy-hf'] on worker 25aea042, worker type: vLLM worker...
2024-09-28 13:49:34 | INFO | model_worker | Register to controller
2024-09-28 13:49:34 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m829959[0m]
2024-09-28 13:49:34 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-09-28 13:49:34 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-09-28 13:49:34 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:30110[0m (Press CTRL+C to quit)
2024-09-28 13:50:19 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:51:04 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:51:49 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:52:34 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:53:19 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:54:04 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:54:49 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:55:34 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:56:19 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:57:04 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:57:50 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:58:35 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 13:59:20 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:00:05 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:00:50 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:01:35 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:02:20 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:03:05 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:03:50 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:04:35 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:05:20 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:06:05 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:06:50 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:07:35 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
2024-09-28 14:08:20 | INFO | model_worker | Send heart beat. Models: ['llama2-7b-game24-policy-hf']. Semaphore: None. call_ct: 0. worker_id: 25aea042. 
